Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
D19,3017407,27.0,8.4,,,,,,9.0,,,,9.6,,,,
D20,3016589,27.35,8.2,,,,,,9.75,,,,,9.4,,,
D21,3023959,21.65,8.4,,7.25,,,,,,,,,,6.0,,
D23,3016681,23.0,8.8,,5.0,,,,,,,,,,,9.2,
D24,3016123,27.8,9.0,,10.0,,,,,,,,8.8,,,,
D25,3008737,26.25,9.0,,8.25,,,,,,,,,9.0,,,
D26,3023021,20.8,7.2,7.0,,,,,,,,,,,6.6,,
D28,3016681,25.5,8.8,7.5,,,,,,,,,,,,9.2,
D29,3016123,27.3,9.0,9.5,,,,,,,,,8.8,,,,
D30,3008737,26.5,9.0,8.5,,,,,,,,,,9.0,,,
D31,3023959,19.9,8.4,,,,5.5,,,,,,,,6.0,,
D33,3016681,24.5,8.8,,,,6.5,,,,,,,,,9.2,
D34,3016123,25.05,9.0,,,,7.25,,,,,,8.8,,,,
D35,3008737,24.75,9.0,,,,6.75,,,,,,,9.0,,,
D41,3023904,22.05,,,,,,,6.75,,8.5,,,,6.8,,
D42,3017083,26.8,,,,,,,8.0,,9.0,9.8,,,,,
D43,3016018,28.0,,,,,,,9.5,,8.5,,,,,10.0,
D44,3015823,28.25,,,,,,,8.75,,9.5,,10.0,,,,
D45,3016589,28.65,,,,,,,9.75,,9.5,,,9.4,,,
D54,3015614,27.55,,8.25,,,,,,,9.5,,9.8,,,,
D55,3008737,26.75,,8.5,,,,,,,9.25,,,9.0,,,
D61,3023904,22.3,,,,,,7.0,,,8.5,,,,6.8,,
D62,3017083,27.55,,,,,,8.75,,,9.0,9.8,,,,,
D63,3019460,27.95,,,,,,9.25,,,9.5,,,,,9.2,
D64,3017029,28.25,,,,,,8.75,,,9.5,,10.0,,,,
D65,3016589,28.9,,,,,,10.0,,,9.5,,,9.4,,,
D66,3012623,29.1,,,,9.6,,,,10.0,9.5,,,,,,
D68,3017244,28.1,,,,,,,,9.25,9.25,9.6,,,,,
D69,3016120,28.75,,,,,,,,10.0,8.75,,,,,10.0,
D70,3017029,28.75,,,,,,,,9.25,9.5,,10.0,,,,
D84,3006316,28.2,8.8,,,9.4,,,,10.0,,,,,,,
D85,3023904,22.3,7.0,,,,,,,8.5,,,,,6.8,,
D86,3017083,27.2,8.4,,,,,,,9.0,,9.8,,,,,
D87,3016711,28.15,8.4,,,,,,,9.75,,,10.0,,,,
D88,3016120,29.2,9.2,,,,,,,10.0,,,,,,10.0,
DD2,3001935,27.25,8.6,,,,,,,,9.25,,,,,,9.4
DH1,3001935,27.65,,,,,,,9.0,,9.25,,,,,,9.4
